Year,Month,Singapore,Australia,New Zealand,Canada,United Kingdom,Hong Kong,Sri Lanka,Bangladesh,India,Brunei,USA,China,Russia,Latin America,Arabs,Germany,France,Nor/Swe/Den/Fin,Belg/Lux/Net,Europe,Philippines,Thailand,Taiwan,Indonesia,Pakistan,Japan,South Korea,Others,Peninsular Malaysia,Sabah,Australia & New Zealand,United Kingdom & Ireland,Western Europe,Eastern Europe
2001,January,2619,,,558,,87,,,576,71902,752,423,,,,,,,,,3358,608,1012,30681,,830,,13689,30406,24904,2135,2402,729,76
2001,February,2143,,,486,,106,,,490,68053,708,426,,,,,,,,,3260,634,755,25436,,1027,,11662,17763,18522,1457,2947,985,108
2001,March,2715,,,473,,52,,,655,76029,773,780,,,,,,,,,3207,608,903,24325,,1170,,12726,27103,18657,1632,3074,948,199
2001,April,2693,,,440,,73,,,662,127016,703,603,,,,,,,,,3340,719,757,25462,,797,,13591,20518,20998,1703,3054,939,72
2001,May,2905,,,424,,62,,,570,69990,825,554,,,,,,,,,3636,693,815,25749,,973,,11399,26748,24237,1587,2612,1079,138
2001,June,3590,,,427,,71,,,774,65829,867,436,,,,,,,,,3539,753,788,25060,,1034,,11441,27552,21107,1739,3006,968,127
2001,July,2371,,,570,,127,,,620,58389,920,661,,,,,,,,,4102,915,1282,26771,,621,,12254,21344,16739,2082,3324,1110,340
2001,August,2525,,,730,,198,,,689,103251,751,572,,,,,,,,,4253,892,1308,25308,,1062,,14968,21515,21773,2007,3655,1519,111
2001,September,2325,,,361,,71,,,835,69794,600,1004,,,,,,,,,4744,996,691,22776,,908,,17957,33306,38447,1965,3075,803,194
2001,October,2252,,,336,,63,,,888,68342,575,749,,,,,,,,,5039,947,557,22693,,642,,12014,32030,14651,1735,3082,929,90
2001,November,2799,,,378,,71,,,590,75117,610,757,,,,,,,,,4319,1053,668,21949,,725,,13010,30187,22084,1435,2673,697,37
2001,December,3449,,,507,,118,,,692,137477,627,676,,,,,,,,,6131,1035,711,24156,,754,,19327,38338,30224,1708,3313,525,41
2002,January,2326,,,471,,83,,,552,69203,762,795,,,,,,,,,4420,918,879,26074,,591,,20085,20689,18497,1823,2878,920,65
2002,February ,2830,,,647,,136,,,626,78587,716,640,,,,,,,,,5114,913,992,21975,,871,,13181,28039,21383,1755,3140,1091,118
2002,March,2989,,,651,,101,,,746,77982,948,886,,,,,,,,,4681,976,957,25078,,1097,,14161,25104,19395,1935,3486,1437,50
2002,April,2510,,,497,,79,,,740,114181,696,736,,,,,,,,,4459,1024,726,26166,,953,,13010,30074,14216,1904,3138,1039,119
2002,May,2768,,,568,,83,,,661,73507,831,811,,,,,,,,,4853,957,776,24736,,947,,13264,37598,20867,1763,2979,477,64
2002,June,3623,,,555,,116,,,779,71652,868,843,,,,,,,,,4459,932,685,24130,,909,,11394,29025,25754,2149,3107,845,56
2002,July,2450,,,651,,128,,,878,58282,962,986,,,,,,,,,4550,953,1228,25794,,1051,,11455,30948,16701,1929,3295,1348,55
2002,August,2563,,,687,,389,,,923,102759,803,1011,,,,,,,,,5231,1116,1120,26169,,1083,,12699,22861,16584,2022,3707,1723,79
2002,September,2325,,,454,,107,,,691,104302,735,989,,,,,,,,,4970,1159,819,26252,,932,,9384,23480,22202,1777,3095,2371,49
2002,October,2257,,,475,,98,,,713,69737,810,1212,,,,,,,,,5324,1133,628,25434,,840,,8577,27640,53571,1842,2922,1928,61
2002,November,2839,,,491,,105,,,672,71605,651,1484,,,,,,,,,5287,1189,719,25515,,802,,11615,28263,52812,1540,2782,1219,57
2002,December,3048,,,544,,68,,,811,130709,495,998,,,,,,,,,6708,1184,660,42419,,880,,13951,27476,33767,1608,2784,914,119
2003,January,1160,,,400,,59,,,386,71292,203,383,,,,,,,,,5694,917,373,27200,,374,,15231,10288,14405,1100,1878,281,21
2003,February,2146,,,436,,45,,,450,30169,549,1069,,,,,,,,,2598,229,464,24518,,660,,12396,21712,8579,1072,2007,999,130
2003,March,1428,,,536,,68,,,461,66762,750,951,,,,,,,,,2238,358,551,28647,,805,,14611,21590,19020,1196,2301,1907,42
2003,April,1251,,,253,,22,,,418,20284,404,611,,,,,,,,,1410,203,241,20601,,484,,9830,15880,8048,918,1991,1064,44
2003,May,1708,,,402,,33,,,684,53223,496,421,,,,,,,,,5830,997,222,28648,,473,,11846,21898,16749,1328,2613,891,13
2003,June,4373,,,576,,100,,,565,94291,877,759,,,,,,,,,6359,1191,449,29103,,796,,15503,36733,26244,2113,2996,963,74
2003,July,2810,,,506,,47,,,935,67776,714,1041,,,,,,,,,7229,1223,545,33803,,919,,12752,25369,18938,1969,3403,1486,130
2003,August,2703,,,706,,175,,,994,80439,897,1079,,,,,,,,,8375,1105,782,32038,,608,,17444,32500,19042,1933,3780,1442,62
2003,September,3179,,,664,,112,,,954,114213,843,1106,,,,,,,,,5343,1323,664,30784,,969,,19371,31794,20630,2211,3378,1778,198
2003,October,2654,,,619,,105,,,977,77211,709,761,,,,,,,,,10065,1193,779,32677,,580,,15005,18476,17037,2089,2951,1263,60
2003,November,3195,,,790,,79,,,898,127939,601,885,,,,,,,,,6653,1199,700,43003,,839,,21205,26169,28390,1812,3098,892,124
2003,December,2939,,,494,,78,,,722,123130,701,1492,,,,,,,,,7194,1225,701,30752,,799,,11548,30115,30511,1527,2861,1211,72
2004,January,3835,,,1092,,153,,,975,98247,912,955,,,,,,,,,10791,1617,628,37805,,720,,21412,17706,15306,2566,3528,1283,42
2004,February,3045,,,1002,,96,,,1067,98244,919,840,,,,,,,,,10400,1563,840,34899,,906,,20419,14526,13254,2199,3767,1427,75
2004,March,3474,,,791,,68,,,967,100350,946,800,,,,,,,,,10860,1585,424,33348,,896,,25519,23344,15185,1932,3230,1892,87
2004,April,3144,,,868,,62,,,1140,80612,866,885,,,,,,,,,10582,1536,645,33212,,996,,18648,22055,14159,2462,3531,1139,35
2004,May,2160,,,668,,73,,,770,78216,712,539,,,,,,,,,4585,7024,381,18872,,662,,17808,22663,14806,2751,3016,820,145
2004,June,3213,,,988,,164,,,1153,118248,1189,899,,,,,,,,,5336,1148,888,28907,,1136,,19311,23053,17399,2442,3737,1410,103
2004,July,2994,,,1221,,52,,,1262,91282,1103,1298,,,,,,,,,10987,1597,885,38103,,943,,16811,13792,10049,2797,4154,2341,115
2004,August,3533,,,1053,,94,,,1140,86616,2567,1205,,,,,,,,,10261,1462,1019,34706,,1222,,17955,17271,16614,2353,4035,2040,72
2004,September,3529,,,983,,55,,,1264,113765,866,1055,,,,,,,,,7488,1371,774,31367,,743,,19758,15729,13891,2546,3787,2150,83
2004,October,3152,,,886,,53,,,1102,121606,1050,1046,,,,,,,,,8103,1473,647,45536,,802,,23859,15297,14467,2228,4416,2056,45
2004,November,3716,,,852,,107,,,1044,126504,923,1324,,,,,,,,,8572,1361,691,26903,,768,,21177,22573,16406,2397,3618,1666,77
2004,December,5771,,,1025,,91,,,1095,144161,944,1239,,,,,,,,,6159,1393,553,37894,,772,,27623,26199,14039,2836,3679,1282,102
2005,January,3422,,,826,,51,,,1100,103024,932,1258,,,,,,,,,8661,1653,670,35043,,709,,12731,18400,13464,2953,4364,1246,102
2005,February ,3620,,,776,,66,,,885,125211,861,960,,,,,,,,,8668,1676,671,34386,,782,,21523,24691,20616,2131,3692,303,45
2005,March,4206,,,881,,70,,,1174,157161,1030,1687,,,,,,,,,9423,1742,505,17432,,891,,2880,38393,25997,2554,4271,2358,56
2005,April,3515,,,705,,82,,,1126,95041,850,1322,,,,,,,,,8852,1762,516,36056,,772,,16857,29127,22823,2346,3355,2143,738
2005,May,3311,,,554,,25,,,940,95955,777,1400,,,,,,,,,9454,1650,620,38011,,849,,18070,46805,14088,1888,3118,1877,59
2005,June,5026,,,852,,46,,,1187,116383,1055,1482,,,,,,,,,8651,1603,586,34293,,814,,17156,48262,21191,2595,3539,2656,49
2005,July,3618,,,871,,54,,,1199,98554,885,1671,,,,,,,,,8327,1361,727,36710,,892,,17995,20704,19947,2799,4397,2791,38
2005,August,3222,,,761,,66,,,1080,100400,972,1252,,,,,,,,,7825,1406,721,33257,,900,,15096,33034,21927,2192,3581,3461,231
2005,September,3438,,,771,,22,,,1055,107707,1037,2328,,,,,,,,,8409,1561,668,41878,,1007,,20053,32386,26609,2209,3511,2196,71
2005,October,3154,,,551,,11,,,905,100393,939,2524,,,,,,,,,8059,1439,607,46707,,803,,15078,32409,25323,2166,3347,1941,66
2005,November,2382,,,512,,51,,,460,45496,903,1092,,,,,,,,,2382,371,468,30623,,555,,13572,52537,37829,1625,1829,997,396
2005,December,3745,,,951,,40,,,1108,173467,961,1951,,,,,,,,,8577,1207,1207,44174,,779,,21524,70217,64543,2294,3379,624,180
2006,January,3535,,,809,,47,,,1181,116158,947,2379,,,,,,,,,9137,1544,724,40683,,1201,,17966,84507,33378,2091,3353,568,194
2006,February ,2470,,,645,,72,,,1157,92537,860,1626,,,,,,,,,7327,1390,660,28723,,991,,3146,45293,26480,1735,2936,1339,151
2006,March,3065,,,798,,94,,,985,103156,863,1627,,,,,,,,,7325,1283,617,31214,,830,,2796,40344,23918,2019,3289,1464,632
2006,April,3163,,,704,,58,,,1048,82602,837,1450,,,,,,,,,6922,1093,514,35394,,736,,13581,39526,18710,2286,3302,1596,475
2006,May,2878,,,652,,39,,,855,40042,783,1617,,,,,,,,,2892,447,484,36630,,743,,13145,43510,16335,1963,2953,1098,142
2006,June,4345,,,309,,54,,,1165,96482,822,1530,,,,,,,,,5884,1109,715,32838,,1425,,20094,48592,26879,2083,2985,226,1328
2006,July,3119,,,806,,52,,,1460,88332,747,1653,,,,,,,,,6526,938,997,37364,,956,,11302,46277,22698,2923,3634,3372,537
2006,August,2563,,,635,,36,,,1306,97583,790,1691,,,,,,,,,5992,1183,786,34073,,955,,10337,61359,22489,1920,3377,2870,907
2006,September,2789,,,557,,34,,,1075,107689,720,1641,,,,,,,,,6083,1327,411,35295,,737,,14009,48414,25294,2232,3288,2353,633
2006,October,2666,,,649,,29,,,1015,121280,710,1777,,,,,,,,,6466,1484,452,29406,,805,,15199,44695,23104,2165,3536,1582,391
2006,November,3256,,,629,,95,,,1131,91921,790,1896,,,,,,,,,6421,1498,549,29333,,818,,11268,47049,22219,1685,2638,1468,212
2006,December,4784,,,885,,67,,,1535,143856,838,2015,,,,,,,,,3638,492,472,36470,,809,,19644,58829,28732,2401,3371,1984,229
2007,January,2472,1652,554,618,2644,20,40,97,1214,106308,804,1494,41,64,105,577,692,265,677,194,6240,1172,413,35808,242,566,408,11567,43063,22266,,,,
2007,February ,3097,1491,526,789,2639,47,46,104,1403,99116,1088,1517,52,61,192,525,381,379,777,455,6967,1627,583,34399,246,729,355,13978,40368,20762,,,,
2007,March,3293,1881,471,916,3529,38,50,62,1513,153291,1082,2128,79,85,125,632,137,440,788,545,6632,1434,424,32394,295,838,405,14947,60990,40869,,,,
2007,April,2477,1232,409,510,2650,33,30,89,1205,88014,793,1754,35,74,107,469,231,318,806,420,6375,1353,387,26329,253,564,221,10154,61883,40560,,,,
2007,May,2964,1202,621,635,2881,25,28,74,1603,125699,845,1797,41,92,132,513,237,231,752,379,9408,2023,422,38911,272,630,305,11065,70311,40791,,,,
2007,June,4835,1736,591,619,2985,45,35,78,1517,129619,1131,1574,38,89,139,346,306,231,634,284,6666,1353,385,35201,286,591,305,11879,53546,30162,,,,
2007,July,3221,2413,674,850,3479,40,64,209,1460,100819,1425,1796,286,88,239,719,465,595,1574,396,7245,1628,701,38631,333,751,412,13405,77494,40913,,,,
2007,August,3004,1549,647,710,3568,94,62,125,1622,117390,1068,2648,65,57,298,815,657,361,1344,1076,7534,1597,726,29001,295,943,464,12425,105310,53795,,,,
2007,September,3085,2092,623,580,2848,35,35,90,1190,103623,904,2386,64,83,105,587,341,461,970,559,7326,1622,555,28354,256,840,318,11456,55711,38223,,,,
2007,October,2806,1563,493,722,3159,25,20,44,1386,127295,996,2485,329,83,145,445,262,207,1020,491,7796,1825,474,42923,303,716,322,16012,53160,33056,,,,
2007,November,5163,2753,719,873,3956,23,45,131,1726,117667,2397,2754,71,65,142,1692,731,821,1212,679,7885,2303,1313,32017,394,1113,350,14118,54446,47132,,,,
2007,December,4877,1971,694,882,2895,151,49,134,1793,227901,1384,2670,62,89,135,441,207,344,640,362,9566,2007,710,36831,314,720,418,21869,57117,52140,,,,
2008,January,2919,1791,573,758,2632,60,66,228,1573,125762,1058,2796,99,94,105,402,167,426,749,661,9421,2007,770,39396,437,782,575,15499,47319,29360,,,,
2008,February,2714,1428,448,724,2593,63,51,117,1440,102602,862,2118,99,69,145,308,174,404,586,405,8153,1747,433,39354,273,685,285,9135,45804,37485,,,,
2008,March,3303,1371,403,549,2778,24,58,166,1203,123541,794,2788,71,53,151,885,280,553,759,470,6903,1603,546,26392,238,669,294,687,48577,34129,,,,
2008,April,2641,1370,445,518,2516,33,63,158,1132,98132,648,3686,88,54,120,511,346,417,734,517,7081,1884,429,38158,274,917,357,1058,33183,31936,,,,
2008,May,3010,1133,463,522,2348,17,40,126,1396,106352,639,2991,59,86,128,317,190,235,661,366,7881,1729,403,29683,328,582,349,1712,66880,40882,,,,
2008,June,3904,1357,567,588,2894,35,90,154,1921,136306,948,3103,46,64,144,140,84,115,447,506,7808,1967,526,33734,264,828,269,1633,53883,40126,,,,
2008,July,3228,2233,776,947,3821,36,102,207,1830,103088,1041,3876,114,99,253,913,802,818,2124,1385,8048,1943,878,42009,402,967,580,1562,84828,37374,,,,
2008,August,3201,2401,554,804,3820,26,54,210,1948,102062,953,3737,68,90,289,962,865,724,1686,1471,7401,1838,1074,40904,318,1067,532,1566,60850,32021,,,,
2008,September,2694,1921,563,512,2957,5,70,120,1465,113629,887,2967,58,98,120,597,270,303,1103,466,7488,1507,703,37093,217,811,326,832,44907,31496,,,,
2008,October,2885,1857,583,600,3352,16,67,232,1716,110220,911,3274,50,121,212,565,340,326,1076,660,8599,1658,755,37007,393,881,505,1161,87900,27615,,,,
2008,November,3876,1646,467,512,2793,16,59,319,1740,115876,804,2960,71,108,232,530,229,276,836,514,8460,1796,609,38031,307,845,423,1585,51323,40775,,,,
2008,December,6023,2110,560,816,3051,39,88,226,1918,185208,1041,3044,96,81,261,504,311,380,788,622,10576,1728,594,41395,369,840,555,1837,82776,57575,,,,
2009,January,3820,2081,691,729,1809,235,31,63,2099,123743,721,1648,25,63,179,838,118,134,439,561,8879,1807,656,30453,320,614,223,1387,65937,35747,,,,
2009,February ,2860,1311,383,669,2601,39,31,106,1524,80522,878,3124,45,65,180,243,104,169,476,389,7600,1453,526,31762,376,719,278,1204,37233,19139,,,,
2009,March,4483,1435,407,633,2933,44,80,272,1710,107169,1247,2988,59,113,204,952,375,552,857,648,8451,1656,619,46549,349,901,384,1420,34834,32861,,,,
2009,April,3819,1841,467,623,3332,14,70,246,1875,92997,985,3549,82,162,219,707,449,459,933,749,9416,1908,544,43046,405,756,376,1838,60115,24779,,,,
2009,May,3718,1660,581,613,3498,50,106,303,2028,96707,1047,3549,98,128,214,671,500,319,853,372,9552,1581,779,47535,336,765,596,1545,58007,35809,,,,
2009,June,5868,1788,581,566,3073,37,60,298,1934,111902,1016,3005,68,155,225,622,357,397,936,744,9624,1671,619,42391,432,776,533,1346,84733,36219,,,,
2009,July,3283,2041,498,771,3749,34,66,292,1616,57646,1082,3497,135,123,358,690,747,592,1788,1394,8425,1363,628,45563,363,733,472,1802,115100,15303,,,,
2009,August,3393,1597,478,691,3670,21,131,266,1845,70339,929,3498,69,154,247,887,830,337,1560,2563,9764,1547,794,38790,394,943,434,1573,66442,30754,,,,
2009,September,3463,1811,523,448,2985,6,94,404,1575,83186,782,3158,76,108,158,550,404,298,1215,1090,8856,1522,736,40108,316,854,318,1344,55136,29176,,,,
2009,October,4219,1879,418,539,3379,11,75,868,1789,74749,944,3478,103,197,278,519,425,379,1287,656,8257,1733,755,42842,359,936,347,1693,50323,32345,,,,
2009,November,5111,1656,458,590,2907,17,65,330,1848,85492,963,3693,98,139,257,602,317,383,830,640,8836,1659,629,38511,342,946,432,1489,59597,26336,,,,
2009,December,6206,2113,574,611,2926,36,77,189,1990,219467,906,3290,128,103,246,388,266,357,782,732,8577,1428,701,51454,352,820,643,1760,101114,56170,,,,
2010,January,3363,1859,415,586,2730,9,77,195,1616,87521,882,3833,67,94,200,552,255,559,740,471,7345,1364,596,43032,423,872,950,1776,53550,51845,,,,
2010,February ,3107,1602,351,582,2337,22,33,78,1402,80688,774,2731,53,36,86,129,115,129,407,540,6614,1192,924,28308,231,700,229,1452,57159,35218,,,,
2010,March,3297,1166,340,523,2440,26,80,111,1468,126938,668,2883,56,47,151,503,277,473,670,643,6784,1122,464,21156,384,598,330,1387,60807,44467,,,,
2010,April,2848,1001,305,406,2141,23,52,122,1199,69384,629,2460,74,41,131,345,224,210,401,453,5528,954,317,29586,229,432,243,1338,55430,51261,,,,
2010,May,3153,1154,338,512,2507,20,51,198,1384,84998,750,2746,38,62,136,459,317,198,691,709,5433,1135,483,31320,263,647,388,1587,62441,47308,,,,
2010,June,3885,2185,497,478,2472,112,50,131,1181,81478,1039,2386,71,145,186,497,255,341,859,368,5236,1002,610,33199,319,974,399,1018,55040,49596,,,,
2010,July,2738,1788,444,524,2638,48,77,131,1382,93511,909,2814,60,98,266,562,697,587,1547,1031,4730,1037,664,33971,307,997,573,1363,104074,46191,,,,
2010,August,2891,1324,474,547,2938,27,138,180,1314,82194,749,3272,64,96,292,727,819,350,1166,2187,5346,872,646,36789,396,949,474,1895,49906,57992,,,,
2010,September,3015,1458,397,428,2352,23,68,100,1267,96364,683,2502,34,78,118,621,242,211,1009,513,5311,1247,398,38344,317,792,407,2369,60759,48922,,,,
2010,October,3236,1353,392,495,2671,31,81,113,1365,91395,687,3175,68,98,162,574,267,344,856,690,5500,1428,467,29943,333,881,387,1851,56075,51422,,,,
2010,November,3283,1250,327,451,2292,23,60,101,1408,86899,622,2801,70,76,161,532,223,251,591,539,5339,1268,562,28289,319,877,435,1831,57974,51266,,,,
2010,December,3927,1378,457,406,1918,111,58,134,1547,206750,615,2785,44,67,182,361,165,264,420,522,7604,2872,647,29773,311,756,512,2008,73842,90170,,,,
2011,January,2845,2041,396,610,2337,44,65,137,1728,125488,957,2842,71,87,195,469,207,547,535,706,6648,1526,644,35507,435,782,659,2281,62244,53311,,,,
2011,February,2630,1258,339,577,2285,22,114,157,1530,89896,758,2969,40,120,165,605,304,509,462,700,6288,1289,513,37437,319,689,451,1913,53191,48066,,,,
2011,March,3531,1126,393,602,2441,52,99,137,1563,123927,789,2802,40,89,132,460,356,368,547,681,6600,1070,441,41388,304,693,320,2351,53005,52922,,,,
2011,April,3494,1772,499,563,2786,28,80,132,1707,115146,914,2777,47,91,244,583,445,448,776,759,6448,1216,589,38862,297,767,348,2166,63143,50698,,,,
2011,May,3293,1449,433,665,2184,42,99,183,1776,125128,907,2933,86,114,229,798,389,223,873,638,6750,1481,767,27338,268,779,415,2083,60508,39672,,,,
